17
15	10
0	9
3	15
14	3
2	11
14	5
2	3
5	12
13	11
14	6
8	1
5	2
5	14
4	8
11	14
15	0
0	10
16	6
10	3
14	4
9	3
6	2
6	2
13	3
9	10
11	2
4	9
6	0
16	0
5	10
10	10
3	4
1	2
5	10
14	2
14	11
13	14
0	3
14	10
4	4
14	15
7	15
6	1
2	4
14	5
16	7
2	15
0	10
4	12
14	14
16	9
7	11
6	3
14	15
10	11
0	1
7	8
0	15
2	14
2	10
9	7
6	9
3	11
14	14
2	15
15	3
5	1
5	13
11	2
14	10
11	13
4	5
4	9
6	4
15	6
14	0
0	15
0	11
16	11
9	15
1	2
11	16
12	6
0	16
0	7
11	14
2	2
12	15
10	14
4	1
9	16
14	9
11	10
4	15
13	10
12	5
4	5
2	15
14	16
14	2
7	15
0	8
14	1
15	3
13	8
15	10
10	5
6	13
2	4
15	2
7	6
11	1
16	2
9	4
15	5
11	7
6	13
5	2
6	12
11	4
5	2
15	9
13	16
11	5
7	15
4	9
2	5
7	6
2	1
14	16
14	0
4	8
2	12
7	10
5	8
1	9
1	10
0	16
12	15
4	12
12	2
15	9
6	14
16	5
13	8
16	4
13	1
13	4
5	15
14	11
3	10
3	15
5	13
2	12
7	1
11	6
6	2
0	1
14	13
12	7
11	10
3	3
15	15
4	7
2	3
13	1
7	13
0	7
2	4
13	2
0	0
3	15
16	6
10	11
1	14
15	6
9	3
10	1
9	7
1	14
7	2
6	14
12	5
9	7
0	15
6	5
12	0
7	9
11	11
8	0
14	3
7	7
16	14
12	0
5	16
1	13
1	12
9	16
6	14
3	1
15	14
15	9
10	10
4	13
4	4
8	4
2	2
16	6
14	9
9	12
16	2
6	10
9	1
15	15
7	6
4	9
1	5
6	10
6	2
7	2
6	10
3	6
12	16
8	11
14	9
2	0
2	13
14	8
6	2
9	3
12	14
10	4
5	5
7	0
2	11
12	5
11	16
15	16
1	14
6	14
15	15
11	9
8	8
10	0
3	15
3	10
14	7
3	13
4	2
4	1
7	6
13	0
7	9
7	11
9	8
6	4
13	15
6	8
8	5
11	16
10	3
1	14
1	15
9	4
5	6
3	4
12	3
13	0
2	2
1	11
15	2
8	15
15	3
16	14
5	6
0	1
6	6
12	1
13	7
4	12
0	10
13	16
16	12
6	0
11	9
3	15
14	1
12	11
9	12
9	11
12	5
11	10
2	1
16	14
10	7
0	4
3	10
13	4
5	10
10	2
1	7
16	13
8	6
9	11
13	8
13	1
2	16
8	15
3	13
3	8
3	13
14	11
15	14
15	2
4	11
2	8
5	13
10	9
4	4
12	2
12	8
8	16
5	14
1	16
15	8
13	4
15	1
6	1
3	5
16	4
4	16
3	1
2	0
4	14
7	6
5	7
14	2
8	13
13	10
9	9
5	2
4	5
7	11
16	1
6	1
0	16
8	10
1	4
1	10
7	5
3	8
2	13
0	0
1	10
10	4
7	10
7	15
10	11
12	5
6	0
7	9
10	7
11	16
0	11
7	3
2	16
3	10
1	4
5	3
8	2
13	16
5	15
0	3
8	6
7	3
13	5
12	14
4	14
9	14
8	13
12	7
1	11
6	15
1	2
13	3
10	0
15	0
3	15
5	15
10	2
7	3
8	6
11	11
8	13
9	11
2	0
2	12
1	3
13	16
2	2
3	0
0	12
2	9
16	3
13	7
10	9
6	4
15	1
5	0
12	14
5	5
8	14
8	15
15	9
12	12
13	8
12	6
15	13
8	14
12	5
14	4
16	13
5	3
4	5
3	2
7	7
4	8
7	16
16	3
15	13
12	11
8	11
8	7
12	15
3	16
11	7
11	1
12	11
16	0
2	16
6	2
2	0
7	1
4	0
4	7
9	3
5	16
7	9
7	13
3	10
9	1
10	15
0	3
11	6
5	16
10	4
5	3
12	3
3	3
1	0
11	7
6	11
11	16
4	4
15	1
10	15
4	7
1	4
10	4
12	13
0	6
0	5
8	13
8	13
4	2
0	9
11	15
5	6
2	5
14	0
16	8
6	8
12	3
16	7
11	5
2	11
16	3
16	3
16	15
8	15
8	3
9	8
14	10
16	5
6	7
15	13
12	13
7	4
3	7
3	6
0	14
0	6
0	7
13	8
6	16
10	4
12	5
16	10
6	1
8	6
2	12
16	15
10	6
13	7
13	13
2	8
5	5
12	2
10	5
4	0
4	8
13	5
15	0
9	12
9	12
8	0
6	3
9	15
5	0
4	13
4	10
15	6
0	9
14	1
1	1
9	9
14	14
5	6
9	3
16	14
5	2
5	15
4	12
3	5
1	10
11	7
5	6
6	9
1	5
6	4
4	11
8	7
13	10
4	4
1	13
6	11
0	6
1	2
7	5
15	12
3	0
6	9
9	16
4	3
15	1
12	1
8	3
13	11
15	12
0	8
3	7
14	6
0	3
8	6
2	15
15	14
6	13
12	12
16	6
8	7
16	14
8	11
14	8
11	12
4	3
11	11
9	7
1	16
5	9
15	10
7	15
11	14
0	5
11	14
12	7
5	2
5	12
11	4
0	2
5	5
0	4
2	16
15	9
9	3
4	12
10	7
12	12
8	13
1	13
11	2
13	14
0	16
12	1
11	11
7	12
7	16
7	7
7	0
3	13
16	16
15	16
2	1
14	10
14	10
12	15
3	9
16	16
8	11
5	11
14	2
10	13
11	4
4	0
4	2
9	16
6	12
13	7
9	8
1	10
16	6
6	4
4	11
5	14
8	12
15	2
6	14
9	16
7	0
10	5
4	11
6	3
10	1
9	2
3	2
0	10
5	11
5	6
3	9
13	10
3	3
0	2
1	9
10	0
5	8
10	11
14	0
1	8
10	8
1	10
11	5
16	1
16	0
0	4
5	10
4	13
6	9
9	12
13	7
6	2
5	1
2	0
8	2
1	3
5	9
5	3
12	16
7	4
16	2
13	8
12	5
5	0
13	2
0	14
8	9
10	15
15	13
15	3
7	14
14	8
11	12
2	3
7	14
0	1
9	7
3	13
4	12
5	8
13	0
0	14
12	4
0	2
5	1
15	7
15	12
15	12
15	0
14	9
10	6
4	5
9	10
5	7
6	14
5	2
16	2
15	14
16	2
3	15
13	4
8	1
4	2
10	14
6	11
8	16
4	16
9	12
10	14
2	6
16	16
9	7
4	6
8	7
14	11
16	11
3	1
4	15
12	15
9	14
13	2
9	0
3	9
6	2
16	13
3	8
6	15
4	13
3	2
13	12
14	8
10	3
1	8
14	14
2	5
7	7
15	7
16	16
9	2
15	13
12	8
6	10
6	1
11	1
4	0
0	16
2	1
0	10
15	12
0	15
13	0
15	7
14	2
4	14
1	15
6	11
4	13
6	4
13	1
9	0
16	1
2	9
2	10
5	11
0	8
0	13
11	4
6	15
4	8
6	11
13	5
2	4
16	8
9	8
16	12
13	9
2	16
0	7
9	12
4	13
9	9
13	4
10	3
2	10
12	14
3	9
4	8
16	5
13	11
6	16
0	12
2	11
9	10
5	10
6	1
10	0
12	15
1	14
15	6
3	4
4	11
2	6
2	16
10	10
0	6
10	7
1	8
1	12
14	10
2	15
15	3
10	3
0	2
8	2
14	16
1	2
0	1
8	11
4	2
9	9
0	13
4	2
5	9
11	14
12	10
14	13
0	1
3	15
0	8
15	2
5	15
7	16
11	13
6	7
16	6
10	15
8	16
9	15
12	5
6	11
7	15
16	11
9	15
7	3
5	10
16	13
13	1
14	6
13	15
4	4
10	4
3	15
4	10
6	3
14	7
5	12
7	13
11	4
15	7
0	9
6	12
13	7
5	10
8	2
14	9
13	3
9	15
8	0
11	4
11	5
9	0
4	7
3	7
14	6
16	1
13	6
13	13
6	1
3	1
11	5
16	0
15	7
15	9
13	15
11	1
1	16
6	3
10	13
2	0
2	8
5	9
5	6
7	1
3	2
15	1
1	5
12	15
7	8
14	2
3	11
10	8
3	12
8	8
8	4
12	10
3	1
16	8
10	16
2	6
8	4
9	0
6	0
16	12
14	13
16	13
13	8
3	9
8	16
3	2
13	8
0	7
15	7
14	16
6	16
3	7
16	5
5	12
8	5
10	13
9	13
5	9
9	13
3	8
11	1
0	7
5	15
13	0
8	11
11	10
9	5
10	14
1	8
13	6
10	9
5	6
15	3
7	10
10	8
0	11
9	12
10	8
16	14
16	14
15	7
12	10
16	7
15	13
11	0
9	12
9	4
15	5
7	8
7	6
8	0
12	15
6	0
14	13
1	5
4	13
15	16
7	7
12	14
14	5
